seed,scenario,urllc_latency_mean_ms,urllc_latency_p99_ms,urllc_sla_violation_pct,conflict_occurrence_pct,throughput_total_mbps,pdr_pct,jain_fairness,ping_pong_ev_min,mean_tx_power_dbm,decision_latency_ms
1001,Baseline,9.780074209688388,125.78981007995957,28.00606238107282,30.382212287368986,129.95511714100692,35.10877571196179,0.18717809720847933,30.30457192563097,40.00493793788907,0.0
1001,RDL_Phase1,2.8448742607601964,3.031602093049572,0.0,0.4408450626070831,1059.612355966975,99.49984977852236,0.9422684478122291,0.0,32.500172026959596,15.980881296945933
1001,RDL_Phase2,2.0491663503410704,2.2210591159766775,0.0,0.0,1457.093573787371,99.88060821069081,0.8779006213033878,0.0,30.829676458193322,13.56503698611415
1002,Baseline,11.581480892846395,123.04622749205441,35.95310233941492,30.00765341325298,149.3209427182084,31.090672850559812,0.15455532740696726,18.04833685169958,38.59002907448429,0.0
1002,RDL_Phase1,2.9152652446289684,3.426255339059252,0.0,0.27775119032337897,1200.193379606006,99.70288663278818,0.913524348504861,0.0,33.547347360376094,12.788189718950672
1002,RDL_Phase2,1.8639039862287003,2.02077413598012,0.0,0.0,1508.584585812968,99.71673599886986,0.8931065383365158,0.0,31.002547744849597,12.567642901621017
1003,Baseline,9.346069483727227,170.06464381957673,29.350744974376784,33.909452261180505,158.350698676895,45.5170246631557,0.11754405275593707,24.38081680474383,38.08009813745585,0.0
1003,RDL_Phase1,3.1590903650972564,3.027089464645579,0.0,0.34352857691377997,1078.6303094483865,98.96267335034705,0.8882405822380145,0.0,33.69934780289142,12.966686486815103
1003,RDL_Phase2,1.8293111879149244,2.197370743748706,0.0,0.0,1387.7338226594734,99.6095659906444,0.8908887665980291,0.0,29.449595847309745,11.414817906408683
1004,Baseline,12.889645674586909,145.52965237189508,26.110383512359768,35.038402226443026,139.9325651702804,34.183234293435675,0.19255515187126016,29.092339870968278,38.8044186909898,0.0
1004,RDL_Phase1,2.648814000317395,3.3308390470918354,0.0,0.7597004805353752,1194.2235389161108,99.35582312426025,0.9551611377755233,0.0,34.0336611205167,12.626406329868958
1004,RDL_Phase2,1.9187217901245073,2.350843708691635,0.0,0.0,1429.0209109668583,99.68751298096221,0.8908584185818491,0.0,31.413179455286933,12.113628912913114
