episode,total_reward,total_cost,lagrange_multiplier
1,28.8184,1.5507,0.0498
2,28.8184,1.5507,0.0496
3,28.8184,1.5507,0.0494
4,28.8184,1.5507,0.0492
5,28.8184,1.5507,0.0491
6,28.8184,1.5507,0.0489
7,28.8184,1.5507,0.0487
8,28.8184,1.5507,0.0485
9,28.8184,1.5507,0.0483
10,28.8184,1.5507,0.0481
11,28.8184,1.5507,0.0479
12,28.8184,1.5507,0.0477
13,28.8184,1.5507,0.0475
14,28.8184,1.5507,0.0473
15,28.8184,1.5507,0.0472
16,28.8184,1.5507,0.047
17,28.8184,1.5507,0.0468
18,28.8184,1.5507,0.0466
19,28.8184,1.5507,0.0464
20,28.8184,1.5507,0.0462
