episode,total_reward,total_cost,lagrange_multiplier
1,28.8184,1.5507,0.046
2,28.8184,1.5507,0.0458
3,28.8184,1.5507,0.0456
4,28.8184,1.5507,0.0454
5,28.8184,1.5507,0.0453
6,28.8184,1.5507,0.0451
7,28.8184,1.5507,0.0449
8,28.8184,1.5507,0.0447
9,28.8184,1.5507,0.0445
10,28.8184,1.5507,0.0443
11,28.8184,1.5507,0.0441
12,28.8184,1.5507,0.0439
13,28.8184,1.5507,0.0437
14,28.8184,1.5507,0.0435
15,28.8184,1.5507,0.0434
16,28.8184,1.5507,0.0432
17,28.8184,1.5507,0.043
18,28.8184,1.5507,0.0428
19,28.8184,1.5507,0.0426
20,28.8184,1.5507,0.0424
